id,idade,renda,cidade,categoria,nota,feedback
1,54,7003.43,Rio de Janeiro,B,5.9,Regular
2,61,3306.15,Joao Pessoa,B,8.2,Regular
3,59,12393.8,Cuiaba,A,1.5,Ruim
4,67,11475.67,Salvador,A,4.5,Regular
5,67,10270.76,Aracaju,B,0.4,Ruim
6,57,9680.57,Joao Pessoa,A,4.2,Regular
7,65,7666.08,Florianopolis,A,3.3,Ruim
8,59,4176.67,Teresina,B,4.7,Regular
9,69,,Curitiba,A,9.4,Bom
10,62,11491.07,Rio de Janeiro,B,4.3,Regular
11,20,3247.06,Campo Grande,A,9.9,Bom
12,45,,Curitiba,B,6.8,Regular
13,47,6997.07,,B,6.2,Regular
14,40,5028.84,Cuiaba,A,8.1,Bom
15,37,6194.84,Fortaleza,A,2.4,Ruim
16,56,,Rio de Janeiro,B,9.4,Regular
17,58,,Belo Horizonte,B,9.8,Bom
18,53,10968.13,Cuiaba,B,3.4,Ruim
19,59,7111.27,Cuiaba,A,0.8,Ruim
20,34,5057.13,Natal,B,3.5,Ruim
21,52,2984.07,Fortaleza,B,4.2,Regular
22,55,14057.35,Palmas,B,7.9,Regular
23,48,9140.8,Belo Horizonte,A,7.7,Bom
24,37,12700.36,Maceio,A,5.8,Regular
25,57,13361.08,Sao Paulo,A,4.7,Regular
26,57,4665.02,Teresina,A,1.2,Ruim
27,52,7036.58,Brasilia,A,5.7,Regular
28,34,12905.55,Porto Alegre,A,2.9,Ruim
29,44,4512.27,Campo Grande,A,7.5,Bom
30,27,4443.42,Aracaju,B,3.8,Ruim
31,27,13837.02,Manaus,B,8.1,Regular
32,43,4945.21,Manaus,B,2.7,Ruim
33,60,7882.55,Fortaleza,A,3.3,Ruim
34,,5927.42,Porto Alegre,A,7.4,Bom
35,20,13452.06,,A,10.0,Bom
36,17,10786.97,Belo Horizonte,B,1.9,Regular
37,39,7457.87,Florianopolis,B,3.4,Ruim
38,66,12385.07,Campo Grande,B,7.1,Regular
39,52,10327.08,Porto Alegre,A,4.4,Regular
40,49,15150.78,Aracaju,A,4.6,Ruim
41,46,12123.31,Brasilia,B,4.7,Regular
42,47,12586.93,Recife,A,2.5,Ruim
43,31,1730.02,Florianopolis,A,6.1,Bom
44,24,2834.44,Manaus,B,6.4,Regular
45,53,7196.35,Curitiba,B,2.6,Ruim
46,18,2488.28,Maceio,B,3.2,Ruim
47,61,3279.74,Brasilia,B,5.8,Regular
48,53,9657.48,,A,4.3,Regular
49,46,4360.05,Campo Grande,A,5.9,Ruim
50,34,7696.01,Cuiaba,B,6.7,Regular
51,24,7276.34,Campo Grande,B,4.4,Ruim
52,19,2031.34,,A,7.9,Regular
53,34,12783.99,Brasilia,A,7.2,Bom
54,42,11625.56,Campo Grande,A,5.0,Ruim
55,54,4217.36,Florianopolis,B,5.2,Regular
56,50,4820.47,Natal,A,,Bom
57,33,14650.74,Brasilia,A,8.2,Bom
58,29,9580.17,Rio de Janeiro,A,4.0,Regular
59,37,6821.3,Palmas,B,6.4,Bom
60,51,10023.41,Curitiba,B,3.8,Ruim
61,59,15055.75,Recife,A,9.0,Bom
62,59,14684.6,Maceio,B,4.7,Regular
63,38,2123.42,,A,5.1,Regular
64,37,3506.59,Fortaleza,A,1.4,Ruim
65,23,2537.8,Rio de Janeiro,B,2.4,Ruim
66,29,10998.01,Campo Grande,B,5.2,Ruim
67,50,4126.05,Brasilia,A,1.4,Ruim
68,20,3262.98,Curitiba,A,7.7,Bom
69,31,14864.05,Curitiba,B,4.4,Ruim
70,60,,Natal,A,3.2,Ruim
71,59,,Palmas,B,8.6,Regular
72,70,1870.78,Manaus,A,6.3,Bom
73,69,12694.43,Campo Grande,A,5.4,Regular
74,43,,Joao Pessoa,B,4.2,Ruim
75,25,2511.76,Rio de Janeiro,A,1.1,Ruim
76,38,13893.61,Belo Horizonte,B,7.2,Regular
77,68,7695.26,Natal,B,5.6,Regular
78,37,12731.89,Maceio,B,5.1,Ruim
79,52,,Campo Grande,B,5.0,Regular
80,53,11050.34,Fortaleza,B,,Ruim
81,48,6028.0,Goiania,A,6.5,Bom
82,30,11486.31,Belo Horizonte,B,1.7,Ruim
83,53,4750.93,Maceio,B,3.2,Ruim
84,60,9526.71,Porto Alegre,B,4.2,Regular
85,35,9637.62,Teresina,A,2.7,Ruim
86,41,8172.58,Porto Alegre,B,6.0,Bom
87,56,11669.69,Palmas,B,3.5,Ruim
88,37,9944.64,Goiania,A,5.4,Ruim
89,58,11282.36,Salvador,B,7.1,Regular
90,50,6787.61,Fortaleza,B,8.2,Regular
91,49,2865.54,Salvador,B,7.6,Bom
92,58,6614.65,Rio de Janeiro,A,8.5,Bom
93,45,10821.12,Salvador,B,7.3,Regular
94,28,3663.73,Porto Alegre,A,4.9,Regular
95,49,14750.11,Campo Grande,A,6.1,Bom
96,,9718.7,Maceio,A,4.1,Regular
97,42,3585.55,Porto Alegre,A,0.1,Ruim
98,49,,Cuiaba,B,3.3,Ruim
99,42,6053.47,,A,5.3,Ruim
100,69,9467.49,Goiania,A,6.0,Bom
101,68,11590.75,Salvador,A,2.3,Ruim
102,23,13094.51,Manaus,A,3.0,Ruim
103,60,12112.35,Recife,B,9.4,Regular
104,32,4337.42,Joao Pessoa,A,5.0,Regular
105,66,,Cuiaba,A,2.8,Ruim
106,40,5158.03,Cuiaba,B,6.5,Bom
107,36,4742.08,Sao Paulo,A,7.5,Bom
108,53,10627.66,Cuiaba,A,3.8,Ruim
109,23,14657.08,Rio de Janeiro,A,10.0,Bom
110,,8498.59,Cuiaba,B,10.0,Regular
111,,9680.34,Joao Pessoa,A,9.9,Bom
112,65,4185.52,Campo Grande,A,3.2,Ruim
113,26,11190.26,Fortaleza,A,2.2,Ruim
114,48,11595.48,Florianopolis,B,4.8,Regular
115,39,2381.9,Curitiba,A,0.5,Ruim
116,17,2960.9,Porto Alegre,B,10.0,Bom
117,19,11824.63,Florianopolis,B,9.8,Regular
118,63,14054.01,Sao Paulo,B,6.9,Regular
119,37,9994.16,Natal,A,2.6,Ruim
120,63,2578.69,Joao Pessoa,A,6.3,Bom
121,21,5819.42,Palmas,B,7.4,Regular
122,69,2165.97,Sao Paulo,A,7.6,Bom
123,67,6586.69,Fortaleza,B,7.0,Regular
124,50,13542.1,Teresina,B,5.7,Ruim
125,44,9310.2,Salvador,B,4.5,Ruim
126,16,10324.2,Maceio,A,5.3,Ruim
127,47,9417.53,Teresina,A,6.0,Bom
128,45,15295.39,Brasilia,B,1.5,Ruim
129,22,11114.5,Cuiaba,A,2.3,Ruim
130,39,12082.38,Palmas,B,5.2,Regular
131,53,2696.2,Salvador,A,5.0,Regular
132,55,12993.04,Campo Grande,B,4.5,Regular
133,47,11217.23,Natal,A,6.6,Bom
134,37,,Salvador,B,1.6,Ruim
135,19,10766.37,Cuiaba,B,8.8,Regular
136,61,7748.45,Fortaleza,A,1.5,Ruim
137,17,9466.64,Florianopolis,B,3.3,Ruim
138,42,6506.43,Maceio,A,6.3,Bom
139,21,12350.09,Joao Pessoa,B,0.8,Ruim
140,64,10471.94,Brasilia,A,1.6,Ruim
141,44,8919.4,Fortaleza,A,9.6,Bom
142,58,13738.34,Fortaleza,B,4.5,Regular
143,43,2517.86,Salvador,B,3.3,Ruim
144,59,4458.41,Manaus,A,2.4,Ruim
145,69,7854.38,Campo Grande,A,4.1,Regular
146,24,10259.02,Cuiaba,B,0.3,Ruim
147,59,13095.4,Brasilia,B,8.8,Regular
148,62,14090.95,Recife,A,3.5,Ruim
149,65,10058.0,Joao Pessoa,A,3.5,Ruim
150,51,8232.3,Curitiba,A,8.4,Bom
151,70,11942.33,Goiania,A,2.5,Ruim
152,16,12532.63,Natal,A,2.1,Regular
153,61,,Sao Paulo,B,,Ruim
154,63,8604.49,Maceio,A,8.8,Bom
155,43,9049.26,Joao Pessoa,B,6.6,Regular
156,20,3805.46,Brasilia,A,1.0,Ruim
157,57,,Teresina,B,2.9,Ruim
158,29,6520.35,Maceio,A,4.8,Regular
159,18,4481.53,Manaus,B,9.8,Bom
160,69,10272.29,Fortaleza,B,,Regular
161,66,7626.4,Manaus,A,2.9,Ruim
162,69,5417.22,Curitiba,A,0.8,Ruim
163,43,5399.35,,A,7.5,Bom
164,25,10734.77,Aracaju,A,3.1,Ruim
165,45,7194.13,Aracaju,B,3.0,Ruim
166,64,7689.89,Joao Pessoa,A,4.7,Regular
167,48,6581.9,Recife,A,3.3,Ruim
168,47,9858.93,Porto Alegre,A,8.9,Bom
169,19,2349.91,Natal,A,,Ruim
170,62,10800.54,Manaus,A,5.4,Regular
171,32,7149.59,Goiania,B,8.1,Bom
172,47,7380.58,Goiania,A,2.0,Ruim
173,62,4339.77,Manaus,B,1.4,Ruim
174,35,12817.86,Cuiaba,A,8.6,Bom
175,34,2446.41,Teresina,B,5.7,Ruim
176,48,13225.36,Fortaleza,A,0.8,Ruim
177,59,8857.91,Belo Horizonte,A,1.3,Ruim
178,64,7216.0,Porto Alegre,A,1.4,Ruim
179,41,2798.7,Brasilia,A,9.8,Bom
180,34,10401.92,Brasilia,B,6.2,Regular
181,43,6871.81,Belo Horizonte,A,1.7,Ruim
182,59,11665.05,Joao Pessoa,B,,Ruim
183,40,14239.02,Rio de Janeiro,B,,Regular
184,32,14978.16,Belo Horizonte,B,8.8,Regular
185,53,10003.66,Joao Pessoa,A,5.6,Regular
186,62,1824.55,,B,5.7,Regular
187,32,12602.41,Natal,B,4.0,Ruim
188,,,,A,,Regular
189,60,9726.16,Cuiaba,A,9.8,Bom
190,45,9809.24,Aracaju,A,7.9,Bom
191,30,8233.14,Brasilia,B,3.8,Ruim
192,43,4500.33,Recife,A,0.5,Ruim
193,49,10307.47,Goiania,A,4.0,Regular
194,46,14123.61,Fortaleza,B,8.0,Regular
195,63,2868.76,Sao Paulo,A,9.2,Bom
196,40,5974.24,Salvador,B,7.5,Regular
197,,13658.93,Recife,B,3.7,Ruim
198,22,9133.21,Goiania,B,,Ruim
199,51,1667.95,Rio de Janeiro,A,8.9,Bom
200,30,2411.45,Maceio,A,9.1,Regular
201,,13111.3,Fortaleza,A,3.3,Ruim
202,24,15227.05,,B,1.8,Ruim
203,30,3450.91,Maceio,B,1.3,Ruim
204,52,12250.6,Porto Alegre,B,8.7,Regular
205,48,5930.67,Fortaleza,B,0.3,Ruim
206,55,2941.15,,A,8.3,Bom
207,61,10720.59,Curitiba,A,1.6,Ruim
208,68,4261.51,Salvador,A,7.2,Bom
209,60,13395.01,Natal,B,0.6,Ruim
210,57,1650.74,Porto Alegre,A,7.4,Bom
211,62,13002.95,Recife,B,7.4,Regular
212,24,14321.48,Aracaju,A,4.3,Regular
213,47,7996.78,Rio de Janeiro,A,0.2,Ruim
214,40,7005.09,Joao Pessoa,B,1.1,Ruim
215,42,14999.78,Palmas,A,8.4,Bom
216,29,6024.09,Brasilia,A,0.8,Ruim
