id,idade,renda,cidade,categoria,nota,feedback
1,16,42455.22,Belo Horizonte,B,7.6,Bom
2,62,43551.51,Belo Horizonte,B,5.1,Bom
3,44,18124.62,Rio de Janeiro,B,8.9,Bom
4,53,35339.45,São Paulo,B,5.3,Bom
5,,37560.7,São Paulo,A,7.0,Bom
6,25,29344.5,Vitória,A,8.7,Bom
7,49,20612.81,São Paulo,B,8.5,Bom
8,61,1744.18,São Paulo,B,7.3,Bom
9,48,44460.52,Vitória,A,9.8,Bom
10,74,45709.95,Belo Horizonte,B,7.9,Bom
11,30,38198.46,Rio de Janeiro,A,5.3,Bom
12,58,34323.62,Belo Horizonte,A,6.3,Bom
13,,43985.43,São Paulo,A,7.9,Bom
14,35,19340.7,São Paulo,B,9.6,Bom
15,54,34632.02,Rio de Janeiro,B,6.6,Bom
16,26,6664.73,Belo Horizonte,B,6.0,Bom
17,54,33404.19,Rio de Janeiro,A,8.2,Bom
18,31,21883.37,Vitória,B,8.0,Bom
19,59,16824.32,Belo Horizonte,B,9.8,Bom
20,18,6822.93,Rio de Janeiro,B,6.8,Bom
21,36,22693.8,Rio de Janeiro,A,9.2,Bom
22,62,28096.91,São Paulo,A,6.2,Bom
23,74,16814.98,Rio de Janeiro,B,5.6,Bom
24,62,29524.28,Vitória,A,5.1,Bom
25,30,15027.87,Vitória,B,8.9,Bom
26,70,21628.37,Vitória,B,5.4,Bom
27,49,38475.24,Belo Horizonte,B,6.5,Bom
28,21,25979.34,São Paulo,A,5.6,Bom
29,45,24613.93,São Paulo,A,8.6,Bom
30,60,42364.46,Belo Horizonte,A,7.0,Bom
31,38,7259.59,Vitória,B,5.6,Bom
32,53,21927.8,Belo Horizonte,B,8.6,Bom
33,74,43343.88,Vitória,A,6.0,Bom
34,39,15559.61,Vitória,A,6.7,Bom
35,41,44638.12,Vitória,A,7.5,Bom
36,66,10138.57,Vitória,B,9.3,Bom
37,32,26005.71,Vitória,B,7.7,Bom
38,41,8486.4,São Paulo,A,8.3,Bom
39,23,21371.32,Vitória,B,10.0,Bom
40,53,19485.14,São Paulo,B,8.9,Bom
41,86,60086.83,São Paulo,B,3.6,Bom
42,23,13925.37,São Paulo,A,7.0,Bom
43,62,29004.84,São Paulo,B,7.2,Bom
44,41,44536.81,Belo Horizonte,A,5.3,Bom
