id,idade,renda,cidade,categoria,nota,feedback
1,38,36665.02,Belo Horizonte,A,6.9,Bom
2,36,16391.33,Vitória,A,8.4,Bom
3,37,3062.33,São Paulo,B,6.6,Bom
4,76,24510.98,São Paulo,B,6.7,Bom
5,25,12994.92,Rio de Janeiro,B,7.9,Bom
6,19,17586.75,Belo Horizonte,B,5.9,Bom
7,41,28583.7,São Paulo,B,5.3,Bom
8,81,43565.51,São Paulo,B,6.2,Bom
9,77,40789.37,Rio de Janeiro,B,5.4,Bom
10,44,30326.79,São Paulo,B,7.4,Bom
11,66,34709.16,São Paulo,A,8.6,Bom
12,26,19048.03,Rio de Janeiro,A,5.7,Bom
13,26,10309.32,Rio de Janeiro,B,7.6,Bom
14,42,40666.55,Rio de Janeiro,A,9.3,Bom
15,73,12054.17,Belo Horizonte,B,6.0,Bom
16,43,1928.97,São Paulo,A,9.8,Bom
17,27,31508.26,Belo Horizonte,A,5.2,Bom
18,76,16098.01,São Paulo,B,6.4,Bom
19,27,35672.35,São Paulo,B,7.6,Bom
20,70,10305.25,São Paulo,A,9.8,Bom
21,79,43033.48,São Paulo,B,6.9,Bom
22,76,33501.83,Belo Horizonte,B,9.5,Bom
23,58,13071.67,São Paulo,A,7.7,Bom
24,33,40292.15,São Paulo,A,8.2,Bom
25,55,35401.32,Rio de Janeiro,B,9.5,Bom
26,23,40480.36,Rio de Janeiro,B,7.8,Bom
27,18,22566.33,São Paulo,B,7.9,Bom
28,32,18533.52,São Paulo,A,5.3,Bom
29,48,15581.41,Rio de Janeiro,B,5.2,Bom
30,80,37296.67,São Paulo,A,9.8,Bom
31,72,15506.34,Rio de Janeiro,B,9.8,Bom
32,50,33347.03,Rio de Janeiro,A,8.8,Bom
33,79,30320.07,Vitória,A,8.2,Bom
34,26,19419.37,São Paulo,B,8.4,Bom
35,45,19426.19,São Paulo,A,8.9,Bom
36,54,30790.43,São Paulo,B,8.6,Bom
37,44,27600.4,Belo Horizonte,B,8.0,Bom
38,53,25339.36,Rio de Janeiro,B,9.9,Bom
39,64,26508.61,São Paulo,A,6.4,Bom
40,71,3082.8,São Paulo,A,6.5,Bom
41,16,39886.14,Rio de Janeiro,B,9.4,Bom
42,74,42839.75,Rio de Janeiro,A,9.6,Bom
43,74,38380.59,São Paulo,B,6.1,Bom
44,70,42319.96,Belo Horizonte,A,5.8,Bom
45,31,20068.69,Rio de Janeiro,B,8.9,Bom
46,35,23752.61,Rio de Janeiro,A,5.1,Bom
47,30,3094.13,Vitória,A,6.9,Bom
48,33,37893.81,São Paulo,B,7.0,Bom
49,48,24552.53,Rio de Janeiro,A,8.6,Bom
50,44,38454.97,Rio de Janeiro,B,7.6,Bom
51,29,26180.93,Vitória,B,6.0,Bom
52,81,34782.93,Vitória,A,6.2,Bom
53,41,6239.86,Rio de Janeiro,A,9.3,Bom
54,27,42705.15,São Paulo,B,7.9,Bom
55,29,39319.58,Rio de Janeiro,B,5.5,Bom
56,43,25738.02,Vitória,B,6.4,Bom
57,28,4028.44,Vitória,A,5.8,Bom
58,42,14332.58,Rio de Janeiro,A,6.1,Bom
59,78,17083.9,Rio de Janeiro,A,5.7,Bom
60,21,20607.47,São Paulo,A,8.5,Bom
61,65,44104.49,Belo Horizonte,A,7.5,Bom
62,75,15997.01,Belo Horizonte,A,8.4,Bom
63,33,3422.14,São Paulo,B,8.7,Bom
64,35,16510.99,São Paulo,B,6.9,Bom
65,66,26113.48,São Paulo,A,9.4,Bom
