id,idade,renda,cidade,categoria,nota,feedback
1,75,42335.57,São Paulo,B,6.1,Bom
2,53,25088.18,Vitória,B,5.1,Bom
3,30,37390.43,Rio de Janeiro,B,5.0,Bom
4,80,38478.39,São Paulo,A,6.2,Bom
5,81,26559.44,Belo Horizonte,A,9.2,Bom
6,41,37754.98,Rio de Janeiro,B,8.8,
7,74,8769.65,São Paulo,B,6.2,Bom
8,18,29233.73,Belo Horizonte,A,6.7,Bom
9,31,24035.7,São Paulo,A,6.4,Bom
10,67,14257.83,Rio de Janeiro,A,7.7,Bom
11,69,13854.29,Belo Horizonte,B,5.8,Bom
12,17,21309.28,Belo Horizonte,A,8.1,Bom
13,48,3923.23,São Paulo,B,9.4,Bom
14,39,3239.8,São Paulo,A,7.0,Bom
15,21,17499.88,Vitória,A,9.1,Bom
16,37,10463.42,Vitória,B,7.8,Bom
17,41,3634.1,Belo Horizonte,A,9.3,Bom
18,59,7704.41,Vitória,B,6.8,Bom
19,68,20257.98,Belo Horizonte,B,7.8,Bom
20,72,36760.55,Rio de Janeiro,A,8.6,Bom
21,18,20382.3,São Paulo,B,9.0,Bom
22,25,21264.14,Rio de Janeiro,A,5.4,Bom
23,31,40281.71,São Paulo,A,9.2,Bom
24,29,41519.04,Vitória,B,6.4,Bom
25,76,44070.98,São Paulo,A,9.1,Bom
26,51,16823.27,São Paulo,A,7.6,Bom
27,27,26185.04,São Paulo,B,7.4,Bom
28,76,4904.25,São Paulo,B,7.8,Bom
29,17,37128.22,São Paulo,A,8.7,Bom
30,16,31461.44,São Paulo,B,8.1,Bom
31,37,21630.08,Vitória,A,5.9,Bom
32,28,2556.79,São Paulo,A,7.7,Bom
33,51,26517.99,Vitória,A,10.0,Bom
34,29,45183.05,Rio de Janeiro,A,8.0,Bom
35,59,26852.62,Belo Horizonte,B,5.3,Bom
36,70,39348.97,Belo Horizonte,B,8.3,Bom
37,61,19554.75,São Paulo,B,9.7,Bom
38,37,41890.94,Belo Horizonte,A,9.0,Bom
39,61,27856.26,São Paulo,B,5.7,Bom
40,55,26448.27,Vitória,A,6.2,Bom
41,39,38007.31,Vitória,A,5.9,Bom
42,24,18015.41,Rio de Janeiro,A,8.1,Bom
43,76,4899.73,São Paulo,A,8.0,Bom
44,62,34094.13,Belo Horizonte,B,9.8,Bom
45,24,5122.25,São Paulo,B,8.5,Bom
46,17,5397.46,São Paulo,B,8.6,Bom
47,42,18142.46,São Paulo,B,6.3,Bom
48,74,25632.56,Rio de Janeiro,A,9.7,Bom
49,59,32942.24,Vitória,B,9.5,Bom
50,17,3921.69,São Paulo,B,5.5,Bom
51,49,29055.01,São Paulo,A,6.5,Bom
52,23,35053.58,São Paulo,B,8.9,Bom
53,50,36363.76,Belo Horizonte,A,5.2,Bom
54,31,29765.22,Vitória,A,6.8,Bom
55,21,8715.45,Belo Horizonte,A,9.3,Bom
56,79,4766.64,São Paulo,B,9.4,Bom
57,49,10855.33,Vitória,A,9.8,Bom
58,33,4801.71,São Paulo,B,8.5,Bom
59,46,38488.04,São Paulo,B,8.3,Bom
60,76,5414.75,São Paulo,A,7.0,Bom
61,82,16679.16,Rio de Janeiro,B,9.7,Bom
62,52,34109.97,Belo Horizonte,A,9.7,Bom
63,20,20441.86,Belo Horizonte,A,5.5,Bom
64,106,1484.22,Vitória,A,0.5,Bom
65,16,27763.25,Belo Horizonte,B,5.3,Bom
66,80,11735.66,São Paulo,A,6.7,Bom
67,46,35341.75,Belo Horizonte,A,9.3,Bom
68,54,41551.57,Belo Horizonte,B,7.1,Bom
69,24,41371.65,Belo Horizonte,A,9.2,Bom
70,59,25612.85,Belo Horizonte,A,6.3,Bom
71,25,39620.11,Rio de Janeiro,B,6.7,Bom
72,43,26594.5,São Paulo,A,9.2,Bom
73,82,29746.96,São Paulo,B,5.1,Bom
74,34,43466.43,Belo Horizonte,A,7.6,Bom
