id,idade,renda,cidade,categoria,nota,feedback
1,66,15797.27,Belo Horizonte,B,6.6,Bom
2,62,41108.33,Belo Horizonte,B,5.7,Bom
3,79,27561.03,São Paulo,A,8.9,Bom
4,79,26308.41,Rio de Janeiro,B,5.9,Bom
5,22,40048.97,Belo Horizonte,A,9.6,Bom
6,66,13897.3,Belo Horizonte,A,9.5,Bom
7,42,35974.07,Vitória,A,8.4,Bom
8,72,26440.92,Rio de Janeiro,A,8.9,Bom
9,68,28018.98,Rio de Janeiro,A,9.8,Bom
10,79,46061.37,Rio de Janeiro,B,6.8,Bom
11,16,28597.88,Belo Horizonte,B,8.2,Bom
12,54,36207.55,São Paulo,B,5.4,Bom
13,68,35968.93,Vitória,A,7.4,Bom
14,67,44660.93,São Paulo,B,6.6,Bom
15,67,10935.59,Rio de Janeiro,B,5.5,Bom
16,37,42846.9,São Paulo,B,9.8,Bom
17,33,39549.07,Vitória,A,6.7,Bom
18,56,24010.9,São Paulo,A,6.0,Bom
19,79,31106.62,São Paulo,B,8.1,Bom
20,22,10228.42,Belo Horizonte,B,7.7,Bom
21,117,1088.44,São Paulo,B,4.4,Bom
22,18,32911.82,Rio de Janeiro,B,7.5,Bom
23,65,9634.2,Vitória,A,7.8,Bom
24,18,5583.2,Belo Horizonte,B,5.9,Bom
25,46,7221.84,Belo Horizonte,A,9.1,Bom
26,79,5737.72,Belo Horizonte,B,7.9,Bom
27,37,36361.9,Rio de Janeiro,A,8.4,Bom
28,22,24381.57,São Paulo,A,9.7,Bom
29,72,43902.26,Vitória,B,8.4,Bom
30,77,20811.05,São Paulo,B,7.3,Bom
31,51,30387.22,Belo Horizonte,B,9.0,Bom
32,30,45142.8,Vitória,A,8.9,Bom
33,55,16863.26,Vitória,A,8.5,Bom
34,38,12433.19,Belo Horizonte,B,8.4,Bom
35,58,19295.1,São Paulo,B,8.7,Bom
36,40,3968.82,Vitória,A,8.3,Bom
37,58,5057.24,São Paulo,A,9.1,Bom
38,48,17718.54,Vitória,B,7.2,Bom
39,35,2782.83,Rio de Janeiro,A,10.0,Bom
40,19,5072.98,Belo Horizonte,B,7.6,Bom
41,19,38134.91,Vitória,B,9.1,Bom
42,69,44396.63,Belo Horizonte,B,7.4,Bom
43,48,14196.93,Vitória,A,7.7,Bom
44,44,8740.35,Vitória,B,6.3,Bom
45,47,3294.04,São Paulo,A,7.7,Bom
46,28,38346.19,Belo Horizonte,A,6.4,Bom
47,46,16866.54,São Paulo,A,9.6,Bom
48,75,22897.65,Vitória,A,8.6,Bom
49,51,13215.74,Vitória,A,9.6,Bom
50,68,26678.48,Belo Horizonte,A,5.5,Bom
51,79,43035.27,Rio de Janeiro,B,5.7,Bom
52,20,45066.29,São Paulo,A,9.8,Bom
53,67,29768.39,São Paulo,B,9.6,Bom
54,66,14588.18,Vitória,A,9.4,Bom
55,119,1307.67,Rio de Janeiro,B,3.7,Bom
56,16,39036.31,São Paulo,A,5.4,Bom
57,50,18708.84,São Paulo,A,6.2,Bom
58,57,16101.21,Vitória,A,6.9,Bom
59,50,26177.32,Vitória,B,8.4,Bom
60,22,35120.4,Vitória,A,5.5,Bom
