"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.07.2025","5,4090","5,4237","5,4505","5,4040","","-0,28%"
"02.07.2025","5,4240","5,4585","5,4985","5,4151","","-0,64%"
"01.07.2025","5,4588","5,4321","5,4703","5,4183","","0,48%"
"30.06.2025","5,4326","5,4846","5,5073","5,4234","","-0,97%"
"27.06.2025","5,4856","5,4880","5,5045","5,4587","","-0,06%"
"26.06.2025","5,4890","5,5639","5,5646","5,4882","","-1,34%"
"25.06.2025","5,5637","5,5109","5,5740","5,5065","","0,95%"
"24.06.2025","5,5113","5,4957","5,5238","5,4752","","0,27%"
"23.06.2025","5,4965","5,5131","5,5437","5,4941","","-0,30%"
"20.06.2025","5,5132","5,4916","5,5277","5,4680","","0,39%"
"19.06.2025","5,4916","5,4915","5,4932","5,4870","","0,00%"
"18.06.2025","5,4917","5,4995","5,5116","5,4750","","-0,15%"
"17.06.2025","5,4997","5,4920","5,5076","5,4656","","0,14%"
"16.06.2025","5,4920","5,5437","5,5437","5,4852","","-0,94%"
"13.06.2025","5,5439","5,5375","5,5940","5,5305","","0,12%"
"12.06.2025","5,5375","5,5369","5,5596","5,5245","","0,02%"
"11.06.2025","5,5364","5,5744","5,5814","5,5218","","-0,68%"
"10.06.2025","5,5744","5,5587","5,5777","5,5384","","0,28%"
"09.06.2025","5,5588","5,5629","5,5992","5,5506","","-0,01%"
"06.06.2025","5,5594","5,5890","5,6183","5,5581","","-0,53%"
"05.06.2025","5,5893","5,6366","5,6381","5,5775","","-0,84%"
"04.06.2025","5,6368","5,6389","5,6531","5,6087","","-0,04%"
"03.06.2025","5,6393","5,6740","5,7107","5,6247","","-0,60%"
"02.06.2025","5,6734","5,7236","5,7236","5,6663","","-0,86%"
